Region,Date,Max_Temp,Min_Temp,Avg_Temp
北部地區,2026-04-25,26.0,19.0,22.5
北部地區,2026-04-26,29.0,20.0,24.5
北部地區,2026-04-27,30.0,20.0,25.0
北部地區,2026-04-28,31.0,21.0,26.0
北部地區,2026-04-29,29.0,23.0,26.0
北部地區,2026-04-30,26.0,21.0,23.5
北部地區,2026-05-01,29.0,20.0,24.5
中部地區,2026-04-25,27.0,21.0,24.0
中部地區,2026-04-26,30.0,21.0,25.5
中部地區,2026-04-27,31.0,22.0,26.5
中部地區,2026-04-28,31.0,22.0,26.5
中部地區,2026-04-29,31.0,23.0,27.0
中部地區,2026-04-30,29.0,22.0,25.5
中部地區,2026-05-01,30.0,21.0,25.5
南部地區,2026-04-25,28.0,23.0,25.5
南部地區,2026-04-26,31.0,22.0,26.5
南部地區,2026-04-27,33.0,23.0,28.0
南部地區,2026-04-28,33.0,23.0,28.0
南部地區,2026-04-29,34.0,24.0,29.0
南部地區,2026-04-30,31.0,23.0,27.0
南部地區,2026-05-01,32.0,23.0,27.5
東北部地區,2026-04-25,23.0,19.0,21.0
東北部地區,2026-04-26,26.0,20.0,23.0
東北部地區,2026-04-27,29.0,20.0,24.5
東北部地區,2026-04-28,29.0,22.0,25.5
東北部地區,2026-04-29,28.0,23.0,25.5
東北部地區,2026-04-30,25.0,21.0,23.0
東北部地區,2026-05-01,27.0,20.0,23.5
東部地區,2026-04-25,24.0,20.0,22.0
東部地區,2026-04-26,25.0,21.0,23.0
東部地區,2026-04-27,27.0,22.0,24.5
東部地區,2026-04-28,28.0,23.0,25.5
東部地區,2026-04-29,29.0,23.0,26.0
東部地區,2026-04-30,26.0,22.0,24.0
東部地區,2026-05-01,26.0,21.0,23.5
東南部地區,2026-04-25,26.0,22.0,24.0
東南部地區,2026-04-26,28.0,22.0,25.0
東南部地區,2026-04-27,29.0,23.0,26.0
東南部地區,2026-04-28,30.0,23.0,26.5
東南部地區,2026-04-29,31.0,23.0,27.0
東南部地區,2026-04-30,29.0,23.0,26.0
東南部地區,2026-05-01,29.0,22.0,25.5
